Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
Date,,,,,,
2017-05-28,15442.7998046875,15442.7998046875,15493.900390625,15254.099609375,15420.2998046875,998429600
2017-06-04,15473.2001953125,15473.2001953125,15505.2001953125,15342.7998046875,15420.599609375,1006696000
2017-06-11,15192.5,15192.5,15594.2001953125,15078.0,15476.2998046875,1790049100
2017-06-18,15319.599609375,15319.599609375,15344.599609375,15125.099609375,15242.900390625,958518100
2017-06-25,15182.2001953125,15182.2001953125,15378.7001953125,15114.599609375,15331.0,885822900
2017-07-02,15027.2001953125,15027.2001953125,15242.599609375,14915.7998046875,15217.400390625,589939400
2017-07-09,15174.7998046875,15174.7998046875,15297.0,14987.7998046875,15013.7998046875,775666000
2017-07-16,15183.099609375,15183.099609375,15319.2001953125,15086.2998046875,15186.2998046875,719623500
2017-07-23,15128.7001953125,15128.7001953125,15276.0,15070.7998046875,15170.5,812306100
2017-07-30,15258.0,15258.0,15324.599609375,15052.400390625,15150.0,828050200
2017-08-06,15033.400390625,15033.400390625,15287.900390625,14995.2998046875,15267.400390625,710142000
2017-08-13,14952.2998046875,14952.2998046875,15196.099609375,14923.2001953125,15087.099609375,741526800
2017-08-20,15056.0,15056.0,15108.2001953125,14918.599609375,14946.7998046875,601666400
2017-08-27,15191.599609375,15191.599609375,15228.099609375,14934.0,15067.400390625,777785300
2017-09-03,14985.2998046875,14985.2998046875,15186.099609375,14953.900390625,15186.099609375,650189600
2017-09-10,15173.0,15173.0,15183.7998046875,15015.599609375,15023.0,1237665700
2017-09-17,15454.2001953125,15454.2001953125,15479.2001953125,15173.599609375,15175.7998046875,909611500
2017-09-24,15634.900390625,15634.900390625,15692.0,15437.7998046875,15453.599609375,942656800
2017-10-01,15728.2998046875,15728.2998046875,15787.2998046875,15619.2001953125,15640.0,808609700
2017-10-08,15807.2001953125,15807.2001953125,15828.900390625,15742.2001953125,15763.599609375,613083200
2017-10-15,15857.2001953125,15857.2001953125,15880.7001953125,15754.099609375,15844.0,802654100
2017-10-22,15953.5,15953.5,15963.599609375,15816.5,15881.599609375,875908700
2017-10-29,16020.2001953125,16020.2001953125,16105.900390625,15942.900390625,15942.900390625,995937000
2017-11-05,16039.2998046875,16039.2998046875,16131.7998046875,16006.2998046875,16049.400390625,953224500
2017-11-12,15998.599609375,15998.599609375,16065.900390625,15829.400390625,15999.099609375,811551100
2017-11-19,16108.099609375,16108.099609375,16126.0,15986.0,15988.7998046875,610929000
2017-11-26,16039.0,16039.0,16110.599609375,15926.599609375,16110.599609375,1120378300
2017-12-03,16096.099609375,16096.099609375,16113.2998046875,15853.099609375,16069.400390625,844375000
2017-12-10,16042.0,16042.0,16187.900390625,16008.5,16096.0,1156170900
2017-12-17,16165.2998046875,16165.2998046875,16200.7998046875,16099.599609375,16107.7998046875,834763500
2017-12-24,16209.099609375,16209.099609375,16232.2001953125,16131.7998046875,16180.400390625,445232800
2017-12-31,16349.400390625,16349.400390625,16421.400390625,16181.0,16213.400390625,710227100
2018-01-07,16308.2001953125,16308.2001953125,16373.5,16229.2998046875,16355.400390625,1121012700
2018-01-14,16353.5,16353.5,16384.5,16270.599609375,16321.7998046875,1005433800
2018-01-21,16239.2001953125,16239.2001953125,16383.7998046875,16180.7001953125,16348.900390625,1122220000
2018-01-28,15606.0,15606.0,16195.7001953125,15600.900390625,16195.7001953125,1135102200
2018-02-04,15034.5,15034.5,15584.099609375,14785.7998046875,15490.099609375,1344005300
2018-02-11,15452.599609375,15452.599609375,15500.7998046875,15114.0,15148.099609375,1223757300
2018-02-18,15638.5,15638.5,15641.099609375,15414.599609375,15427.2001953125,786419200
2018-02-25,15384.599609375,15384.599609375,15766.5,15286.599609375,15701.099609375,1090261000
2018-03-04,15577.7998046875,15577.7998046875,15611.900390625,15334.7001953125,15340.2001953125,761720600
2018-03-11,15711.2998046875,15711.2998046875,15791.2001953125,15549.0,15579.599609375,1143735300
2018-03-18,15223.7001953125,15223.7001953125,15741.5,15203.900390625,15693.099609375,1097544800
2018-03-25,15367.2998046875,15367.2998046875,15390.7998046875,15150.5,15334.2001953125,868041400
2018-04-01,15207.400390625,15207.400390625,15371.400390625,14991.2001953125,15351.2001953125,1008729900
2018-04-08,15274.0,15274.0,15349.599609375,15216.0,15268.400390625,968154100
2018-04-15,15484.2998046875,15484.2998046875,15576.7001953125,15266.900390625,15298.7998046875,949275800
2018-04-22,15668.900390625,15668.900390625,15682.2998046875,15430.599609375,15503.400390625,915628400
2018-04-29,15729.400390625,15729.400390625,15752.5,15548.7001953125,15676.7998046875,993336000
2018-05-06,15983.2998046875,15983.2998046875,16030.400390625,15759.7001953125,15759.7001953125,1120600800
2018-05-13,16162.2998046875,16162.2998046875,16179.5,16016.900390625,16023.900390625,1042819600
2018-05-20,16075.7001953125,16075.7001953125,16238.7998046875,16059.7001953125,16179.2998046875,814331500
2018-05-27,16043.5,16043.5,16095.2001953125,15884.2998046875,16059.400390625,938677100
2018-06-03,16202.7001953125,16202.7001953125,16249.2001953125,16038.0,16064.900390625,919927800
2018-06-10,16314.400390625,16314.400390625,16351.599609375,16220.5,16229.2001953125,1129612200
2018-06-17,16450.099609375,16450.099609375,16489.5,16253.2998046875,16275.5,1040408400
2018-06-24,16277.7001953125,16277.7001953125,16384.80078125,16112.599609375,16381.5,1166730500
2018-07-01,16371.7998046875,16371.7998046875,16378.599609375,16227.2998046875,16332.400390625,542173700
2018-07-08,16561.099609375,16561.099609375,16586.5,16382.2998046875,16402.69921875,862257200
2018-07-15,16435.5,16435.5,16564.400390625,16424.80078125,16531.099609375,855361400
2018-07-22,16394.0,16394.0,16512.30078125,16351.0,16444.5,891386100
2018-07-29,16420.19921875,16420.19921875,16443.0,16266.599609375,16443.0,892891200
2018-08-05,16326.5,16326.5,16494.099609375,16235.599609375,16491.599609375,781066400
2018-08-12,16323.7001953125,16323.7001953125,16371.900390625,16075.2998046875,16318.2998046875,1014216400
2018-08-19,16356.099609375,16356.099609375,16400.900390625,16296.400390625,16332.099609375,1011140400
2018-08-26,16262.900390625,16262.900390625,16475.30078125,16252.400390625,16416.099609375,1026369900
2018-09-02,16090.2998046875,16090.2998046875,16276.2998046875,15994.2998046875,16276.2998046875,949389800
2018-09-09,16013.5,16013.5,16147.099609375,15975.7998046875,16121.0,1099046900
2018-09-16,16224.099609375,16224.099609375,16267.7001953125,16045.2998046875,16046.5,1557274900
2018-09-23,16073.099609375,16073.099609375,16300.7001953125,16063.7001953125,16244.5,1191846400
2018-09-30,15946.2001953125,15946.2001953125,16193.099609375,15895.5,16152.2998046875,1168013900
2018-10-07,15414.2998046875,15414.2998046875,15917.7998046875,15317.099609375,15891.2998046875,1246333500
2018-10-14,15470.099609375,15470.099609375,15579.7998046875,15380.7001953125,15441.400390625,1360715900
2018-10-21,14888.2998046875,14888.2998046875,15492.900390625,14732.0,15488.099609375,1484994000
2018-10-28,15119.2998046875,15119.2998046875,15222.900390625,14639.7001953125,14987.0,1439938600
2018-11-04,15274.400390625,15274.400390625,15393.099609375,15136.7998046875,15136.7998046875,1332362800
2018-11-11,15155.5,15155.5,15263.7001953125,15046.7998046875,15263.2001953125,1390252200
2018-11-18,15010.7001953125,15010.7001953125,15195.400390625,14810.599609375,15137.400390625,1027054100
2018-11-25,15197.7998046875,15197.7998046875,15251.2001953125,14907.5,15066.7001953125,1272223300
2018-12-02,14795.099609375,14795.099609375,15378.900390625,14763.900390625,15358.900390625,1099287000
2018-12-09,14595.099609375,14595.099609375,14957.7998046875,14567.2998046875,14769.599609375,1361540400
2018-12-16,13935.400390625,13935.400390625,14577.599609375,13924.400390625,14567.599609375,1944118900
2018-12-23,14222.0,14222.0,14326.900390625,13776.900390625,13857.7998046875,672953800
2018-12-30,14426.599609375,14426.599609375,14438.599609375,14112.7998046875,14312.400390625,884500800
2019-01-06,14939.2001953125,14939.2001953125,14956.2001953125,14383.099609375,14471.0,1299309500
2019-01-13,15303.7998046875,15303.7998046875,15325.599609375,14881.0,14881.0,1270112600
2019-01-20,15366.099609375,15366.099609375,15388.0,15141.5,15300.400390625,953190000
2019-01-27,15506.2998046875,15506.2998046875,15569.0,15276.900390625,15289.099609375,1204400100
2019-02-03,15633.2998046875,15633.2998046875,15745.400390625,15513.7001953125,15527.400390625,1146816700
2019-02-10,15838.2001953125,15838.2001953125,15866.599609375,15545.900390625,15660.5,1239945800
2019-02-17,16013.0,16013.0,16071.0,15831.900390625,15856.900390625,1125947800
2019-02-24,16068.2998046875,16068.2998046875,16122.099609375,15975.099609375,16051.0,1259513600
2019-03-03,15996.2001953125,15996.2001953125,16145.7998046875,15891.900390625,16088.599609375,1342525900
2019-03-10,16140.400390625,16140.400390625,16212.599609375,16028.099609375,16028.099609375,1582683100
2019-03-17,16089.2998046875,16089.2998046875,16275.2998046875,16043.900390625,16149.099609375,1324517000
2019-03-24,16102.099609375,16102.099609375,16212.7001953125,16021.0,16066.2998046875,1172765100
2019-03-31,16396.19921875,16396.19921875,16396.19921875,16153.599609375,16187.900390625,996193900
2019-04-07,16480.5,16480.5,16487.099609375,16294.2998046875,16373.099609375,1022186300
